ID {PK} ,AttributeType,Description,
1,Background,Works as a GP in a rural area –Gippsland,
1,Background,"Lives with her husband, Frank, and has a 4-year-old cat, Albert",
1,Background,"Has a 19-year-old daughter, Cassandra, living in Melbourne attending University of Melbourne, and a 17-year-old son named Jonathon who works as a part-time receptionist at the clinic who attends the local high school",
1,Background,Loves baking and hiking with friends,
1,Needs,High-quality information on health topics to use in her research on the health and wellbeing of Indigenous communities,
1,Needs,Access to relevant cultural information associated with the health of Aboriginals and Torres Strait Islander people,
1,Needs,Access to data tracking progressof the health &wellbeing of Indigenous people in her area,
1,Goals,Provide culturally respectful health service to her patients•,
1,Goals,Have loyal Indigenous patients,
1,Goals,Have a positive impact on the wellbeing of Indigenous people in her area,
1,Skills,Years of experience with desktop applications related to her work ,
1,Skills,Web browsing on a daily basis,
2,Background,Recently moved from New Zealand,
2,Background,Works as Civil Law Solicitor at a small law firm,
2,Background,Hobbies include photography and writing travel blogs and learning about different cultures and countries,
2,Background,Aspires to “do her own thing” and is saving to open her own consulting business one day,
2,Background,Flats in central Sydney with three other young professionals,
2,Needs,"Lara needs to be aware of all the issues that impact her clientele, specifically the issues faced by indigenous families and individuals",
2,Needs,Lara needs to know about significant indigenous-rights cases that have appeared before the cour,
2,Needs,Lara needs to understand the demographics of the clientele that live in her region,
2,Goals,Lara wants to undertake pro-bono work once every two weeks,
2,Goals,Lara wants to help and wants to take active participation in reducing racism and empowering women,
2,Skills,Very active on social media platforms; constantly shares her creative work with her 4k followers,
2,Skills,Lara is good at analysing case facts but sifting through numerical data is not her expertise,